epoch,x_pred,y_pred,x_truth,y_truth,x_acc,y_acc
1.0,506.0954291105852,540.5921505596104,589.4662475585938,490.0909729003906,14.143442273973688,10.30444967397594
2.0,600.3212893428889,496.38504299382794,589.4662475585938,490.0909729003906,1.8415035346389637,1.284265665247534
3.0,566.0336641112614,497.0885197861169,589.4662475585938,490.0909729003906,3.9752205566279084,1.4278057080534066
4.0,641.3501532269846,479.1928731500074,589.4662475585938,490.0909729003906,8.801845039182425,2.2236891420153158
5.0,579.9679800886261,508.9948659418611,589.4662475585938,490.0909729003906,1.6113335596918201,3.8572212276418836
6.0,612.859902659449,522.4977116137587,589.4662475585938,490.0909729003906,3.9686165573932777,6.612392495536673
7.0,593.7388613851164,523.7145696905824,589.4662475585938,490.0909729003906,0.7248275612418185,6.860684780869375
8.0,570.5512432972905,509.9155506667271,589.4662475585938,490.0909729003906,3.2088358476238388,4.0450811915619065
9.0,575.0247397442688,469.69027678363284,589.4662475585938,490.0909729003906,2.449929554768858,4.162634540282414
10.0,587.7735209761812,505.74789274377974,589.4662475585938,490.0909729003906,0.2871625965733157,3.1946966398361587
11.0,637.4125524413814,477.0257496515339,589.4662475585938,490.0909729003906,8.133850764376758,2.665877147570356
12.0,577.0028146586313,483.00006694976025,589.4662475585938,490.0909729003906,2.114359041180476,1.446855041762129
13.0,600.4226143759154,483.516745691368,589.4662475585938,490.0909729003906,1.858692819597367,1.3414299737283322
14.0,599.1534784028336,453.8270785571192,589.4662475585938,490.0909729003906,1.643390250817863,7.399420994975549
15.0,601.1548015692387,515.4980587161905,589.4662475585938,490.0909729003906,1.982904714062199,5.1841570689292755
