time,area,speed,perimeter,xcentre,ycentre,eccentricity,orientation,major_axis,minor_axis
00:00,2534.0,4.101849005980925,238.0,703.1842651367188,799.3547973632812,0.7385832922966471,1.0405623071662462,70.28285817527873,47.382048814272885
00:03,2765.0,11.293878555297852,242.0,693.6376342773438,793.3204345703125,0.7314306292927282,0.7628704306491947,72.09675684874114,49.16392165436742
00:06,2480.0,9.010485649108888,218.0,693.8027954101562,802.3294067382812,0.7080044709887824,0.1105612817280699,67.30659842094913,47.53245491218856
00:09,1936.0,8.130121231079102,192.0,701.5,799.7117919921875,0.3307619474851918,-0.0467802611576743,51.23144532466043,48.34784360153262
00:12,1565.0,0.9239644408226012,174.0,702.3699951171875,799.400634765625,0.2586372938374541,1.3233756324729251,45.46229906665156,43.915421976530766
00:15,2083.0,3.6099352836608887,211.0,699.3331909179688,797.4488525390625,0.67456806306227,0.6486122093408168,60.26635020507087,44.48938256733332
00:18,2521.0,3.8320388793945312,228.0,696.0166625976562,795.5291748046875,0.7113111460449892,0.4309066955752148,67.85656453603134,47.69483667962324
00:21,2756.0,4.873952388763428,244.0,691.8037109375,793.078369140625,0.6925679944978375,0.200369762838905,70.4784325131764,50.83980051143661
00:24,2475.0,3.186879396438598,232.0,688.7539672851562,792.153564453125,0.7203695483767499,-0.0461658982187834,68.44957341254292,47.475970496583145
00:27,2220.0,3.8296847343444815,212.0,686.1630859375,789.3333129882812,0.6857267630094337,-0.1714766650512036,62.73324933281944,45.66096368623147
00:30,2026.0,3.2522788047790527,200.0,683.0143432617188,788.5192260742188,0.6329061709669108,-0.4213765312711191,57.79997322142411,44.7503868860307
00:33,1858.0,1.0102993249893188,192.0,682.608154296875,787.5941772460938,0.5189711256947112,-0.8315381636268026,52.67676242763854,45.02766301296996
00:36,1670.0,2.552299737930298,180.0,684.5263671875,789.27783203125,0.3890940279331842,-1.2610420497020742,48.05118944119552,44.264661755286205
00:39,1585.0,1.269631028175354,172.0,685.0794677734375,788.135009765625,0.3601112241480404,-0.7359981124485443,46.57587788654706,43.451073236048046
00:42,2445.0,2.931760549545288,224.0,685.9627685546875,785.3394775390625,0.619043755874221,-1.2672640300194054,63.17729978387288,49.61670288570952
00:45,2655.0,3.838939905166626,228.0,688.6741943359375,782.621826171875,0.7268461288275169,-1.3179513217548584,70.63021910836306,48.50885839425335
00:48,2587.0,3.2047252655029297,230.0,691.0448608398438,780.4653930664062,0.7861769595697612,-1.2664567554162425,73.46653388093974,45.40242422949009
00:51,2573.0,2.7412827014923096,230.0,691.2222900390625,777.7298583984375,0.7980475769192193,-1.341221003767696,74.08465419883771,44.64300106942347
00:54,2638.0,1.9290000200271609,234.0,691.1633911132812,775.8017578125,0.7546209319800427,-1.2685878996056148,71.9624798097373,47.21897222620871
00:57,2516.0,3.81677770614624,222.0,690.794921875,772.0028076171875,0.6020413362582849,-1.2025946816537858,63.69893808231935,50.86136753850557
01:00,2345.0,6.250033378601074,218.0,690.2601318359375,765.7756958007812,0.5576041845742473,0.580253420530628,60.197602732286526,49.97044930451104
01:03,2141.0,3.169001817703247,206.0,690.1639404296875,762.608154296875,0.6628874752203375,0.2269387143369144,60.49491291955055,45.29369289724986
01:06,2533.0,5.583707332611084,233.0,692.1239624023438,757.3797607421875,0.7785455157363455,-0.1499532153708634,72.78083444132733,45.67638888915455
01:09,2300.304347826087,4.101849005980925,215.65217391304347,691.4436565896739,785.8657093877378,0.6277764157649959,-0.2610415710619893,63.12006112043312,46.83427335760613
